company,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
ESA MANAGEMENT LLC,M5 Variable-Weight,race,9.41,14.032,0.2186,26.53,White,0.2,-5.98,-20.92,,,,-1.34,,1.5,26.53
ESA MANAGEMENT LLC,M5 Variable-Weight,gender,8.95,8.95,0.066,8.95,Male,,,,-8.95,,8.95,,,,
ESA MANAGEMENT LLC,M5 Variable-Weight,hispanic,8.15,8.15,0.0749,8.15,Hispanic,,,,,-8.15,,,8.15,,
ESA MANAGEMENT LLC,M6 IPF+Occ,race,15.93,23.896,0.395,47.78,White,-1.07,-8.13,-32.42,,,,-1.38,,-4.79,47.78
ESA MANAGEMENT LLC,M6 IPF+Occ,gender,2.75,2.75,0.0207,2.75,Male,,,,-2.75,,2.75,,,,
ESA MANAGEMENT LLC,M6 IPF+Occ,hispanic,20.45,20.45,0.2486,20.45,Hispanic,,,,,-20.45,,,20.45,,
TYSON FOODS INC,M1 Baseline (60/40),race,12.06,15.087,0.3212,26.45,White,-0.3,-12.93,-19.86,,,,-3.1,,9.74,26.45
TYSON FOODS INC,M1 Baseline (60/40),gender,4.02,4.02,0.0288,4.02,Male,,,,4.02,,-4.02,,,,
TYSON FOODS INC,M1 Baseline (60/40),hispanic,2.54,2.54,0.0205,2.54,Not Hispanic,,,,,-2.54,,,2.54,,
TYSON FOODS INC,M2 Three-Layer (50/30/20),race,12.54,15.553,0.3325,25.76,White,-0.35,-12.74,-21.86,,,,-2.67,,11.85,25.76
TYSON FOODS INC,M2 Three-Layer (50/30/20),gender,5.0,5.0,0.0358,5.0,Male,,,,5.0,,-5.0,,,,
TYSON FOODS INC,M2 Three-Layer (50/30/20),hispanic,3.69,3.69,0.03,3.69,Hispanic,,,,,-3.69,,,3.69,,
TYSON FOODS INC,M3 IPF,race,17.36,25.781,0.4867,52.07,White,-1.37,-14.24,-32.55,,,,-3.51,,-0.41,52.07
TYSON FOODS INC,M3 IPF,gender,0.41,0.41,0.003,0.41,Male,,,,-0.41,,0.41,,,,
TYSON FOODS INC,M3 IPF,hispanic,19.94,19.94,0.1941,19.94,Hispanic,,,,,-19.94,,,19.94,,
TYSON FOODS INC,M4 Occ-Weighted,race,11.71,14.265,0.3266,23.97,White,-0.38,-13.22,-18.35,,,,-3.2,,11.16,23.97
TYSON FOODS INC,M4 Occ-Weighted,gender,3.19,3.19,0.0229,3.19,Male,,,,3.19,,-3.19,,,,
TYSON FOODS INC,M4 Occ-Weighted,hispanic,0.87,0.87,0.0069,0.87,Not Hispanic,,,,,-0.87,,,0.87,,
TYSON FOODS INC,M5 Variable-Weight,race,12.77,16.929,0.3182,31.41,White,-0.15,-12.37,-22.89,,,,-2.9,,6.89,31.41
TYSON FOODS INC,M5 Variable-Weight,gender,5.66,5.66,0.0405,5.66,Male,,,,5.66,,-5.66,,,,
TYSON FOODS INC,M5 Variable-Weight,hispanic,5.88,5.88,0.0485,5.88,Hispanic,,,,,-5.88,,,5.88,,
TYSON FOODS INC,M6 IPF+Occ,race,17.36,25.781,0.4867,52.07,White,-1.37,-14.24,-32.55,,,,-3.51,,-0.41,52.07
