company,company_code,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,naics_group,size_bucket,region,minority_share,urbanicity,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
ACRES ENTERPRISES,P02174,M3 IPF,hispanic,67.31,67.31,0.5116,67.31,Hispanic,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,,-67.31,,,67.31,,
ACRES ENTERPRISES,P02174,M4 Occ-Weighted,race,5.93,8.938,0.2276,17.81,White,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,0.23,2.05,12.1,,,,0.04,,3.38,-17.81
ACRES ENTERPRISES,P02174,M4 Occ-Weighted,gender,33.19,33.19,0.2866,33.19,Female,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,33.19,,-33.19,,,,
ACRES ENTERPRISES,P02174,M4 Occ-Weighted,hispanic,46.81,46.81,0.347,46.81,Hispanic,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,,-46.81,,,46.81,,
ACRES ENTERPRISES,P02174,M5 Variable-Weight,race,5.94,8.84,0.2265,17.83,White,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,0.29,2.93,11.54,,,,0.05,,3.02,-17.83
ACRES ENTERPRISES,P02174,M5 Variable-Weight,gender,34.53,34.53,0.296,34.53,Female,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,34.53,,-34.53,,,,
ACRES ENTERPRISES,P02174,M5 Variable-Weight,hispanic,49.04,49.04,0.3632,49.04,Not Hispanic,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,,-49.04,,,49.04,,
ACRES ENTERPRISES,P02174,M6 IPF+Occ,race,0.49,0.659,0.0739,1.21,Black,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,0.0,-0.78,1.21,,,,0.0,,-0.68,0.26
ACRES ENTERPRISES,P02174,M6 IPF+Occ,gender,29.91,29.91,0.2634,29.91,Female,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,29.91,,-29.91,,,,
ACRES ENTERPRISES,P02174,M6 IPF+Occ,hispanic,67.31,67.31,0.5116,67.31,Hispanic,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,,-67.31,,,67.31,,
