uml_id,band,source_system,match_method,confidence_score,source_id,source_name,source_city,source_state,target_id,target_name,target_city,target_state,name_similarity,state_match,city_match,triage,manual_label,manual_notes
1672141,MEDIUM,osha,FUZZY_TRIGRAM,0.724,65742d2fdd8f60dea79b10dc1a9ca129,CONTINENTAL PRODUCTS,MEXICO,MO,f2face38fbedfa28,Continental Commercial Products ,Bridgeton,MO,0.784,True,False,LOW_RISK,Likely Correct,
2551610,MEDIUM,sam,FUZZY_TRIGRAM,0.767,UQ1QC2PV65C5,CABTEL ENGINEERING AND CONSTRUCTION INC,MIAMI,FL,e2e006638de508e5,Irby Engineering and Construction Inc.,Pensacola,FL,0.867,True,False,LOW_RISK,Likely Correct,
2301920,MEDIUM,whd,FUZZY_TRIGRAM,0.776,1688952,"Anna Rehabilitation and Nursing Center, LLC",Anna,IL,73010069818e31f8,Columbia Rehabilitation and Nursing Center LLC,Columbia,IL,0.861,True,False,LOW_RISK,Likely Correct,
195899,MEDIUM,nlrb,name_zip_exact,0.980,101508,MIDWEST DRYWALL,Wichita,KS,b2dbcc2f5f337871,MIDWEST DRYWALL CO INC,WICHITA,KS,1.0,True,True,LOW_RISK,Likely Correct,
2278012,MEDIUM,whd,NAME_AGGRESSIVE_STATE,0.750,1741914,Doss Aviation,Oak Harbor,WA,0b47c837671aae37,Doss Aviation Inc,Ft Lewis,WA,1.0,True,False,LOW_RISK,Likely Correct,
2458395,MEDIUM,sam,NAME_AGGRESSIVE_STATE,0.750,LYJHZTJK19D4,MONMOUTH UNIVERSITY INC,WEST LONG BRANCH,NJ,36c09a44c4da1d34,Monmouth University ,West Long Branch,NJ,1.0,True,True,LOW_RISK,Likely Correct,
196831,MEDIUM,nlrb,name_zip_exact,0.980,115117,Palace Hotel,SAN FRANCISCO,CA,1b283940aedc038a,Palace Hotel,San Francisco,CA,1.0,True,True,LOW_RISK,Likely Correct,
1711984,MEDIUM,osha,FUZZY_TRIGRAM,0.741,d67fd297cfa2e7f788c0cd8fbce9170e,106348 - FRANA COMPANIES INC,ELK RIVER,MN,ead82ef270034a72,Frana Companies Inc,Hopkins,MN,0.811,True,False,LOW_RISK,Likely Correct,
2591832,MEDIUM,sam,FUZZY_TRIGRAM,0.719,Z76DTHQKD4F1,"FCS CONSTRUCTION SERVICES, INC.",DAYTON,OH,1b83da75df87ea48,SCS Construction Services,Cincinnati,OH,0.938,True,False,LOW_RISK,Likely Correct,
205763,MEDIUM,crosswalk,USASPENDING_FUZZY_NAME_STATE,0.800,12098,,,PA,56fbbe2934bf4cc5,"BIMBO BAKERIES, INC",HORSHAM,PA,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
1567406,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,a195ec06c98d759b6abdc5174d6e1da8,MANAFORT BROTHERS INCORPORATED,NEW BRITAIN,CT,af1e130dcba06ab8,MANAFORT BROTHERS INC,PLAINVILLE,CT,0.723,True,False,LOW_RISK,Needs Human Review,
224762,MEDIUM,crosswalk,CROSSWALK,0.800,223303718,,,,a93841b125a14ffb,Hunterdon County Educational Services Commission,Califon,NJ,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
1383859,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,162c9a43d0838092441cbecc33a2f036,"WASTE MANAGEMENT OF WISCONSIN, INC",FRANKLIN,WI,c578bebfe2450119,Waste Management Of Wisconsin,Pewaukee,WI,1.0,True,False,LOW_RISK,Likely Correct,
202148,MEDIUM,nlrb,name_zip_exact,0.980,122732,"Pro Tec Fire Services, Inc.",Appleton,WI,781ca0bfcf2216c8,"Pro-Tec Fire Services, LTD",Appleton,WI,1.0,True,True,LOW_RISK,Likely Correct,
2459231,MEDIUM,sam,NAME_AGGRESSIVE_STATE,0.750,MZK5JKKL9S23,US FOODS INC,CHARLOTTE,NC,e0524d343d6ca46a,US Foods,Charlotte,NC,1.0,True,True,LOW_RISK,Likely Correct,
2273153,MEDIUM,whd,NAME_AGGRESSIVE_STATE,0.750,235834,"Alden Management Services,Inc.",Chicago,IL,fb945194520122e3,Alden Management ,Chicago ,IL,1.0,True,True,LOW_RISK,Likely Correct,
1793286,MEDIUM,osha,FUZZY_TRIGRAM,0.727,f08a9bcc0f6bd5bb64ea1db25ac46db5,94770 - THE TORO COMPANY,WINDOM,MN,ebad2d23d16e4b53,The Toro Company,Shakopee,MN,0.571,True,False,REVIEW_MEDIUM_RISK,Needs Human Review,
