f_num,union_name,local_number,desig_name,city,state,members,yr_covered
15386,TEAMSTERS,833,LU,JEFFERSON CITY,MO,494,2024
62580,TEAMSTERS,837,LU,PHILADELPHIA,PA,655,2012
42299,TEAMSTERS,838,LU,KANSAS CITY,MO,1554,2024
15385,TEAMSTERS,839,LU,PASCO,WA,2483,2024
1429,TEAMSTERS,848,LU,GLENDORA,CA,7451,2024
68051,TEAMSTERS,851,LU,VALLEY STREAM,NY,353,2010
20870,TEAMSTERS,853,LU,OAKLAND,CA,11115,2024
22672,TEAMSTERS,854,LU,BALDWIN,NY,0,2013
35507,TEAMSTERS,856,LU,SAN BRUNO,CA,24485,2024
1348,TEAMSTERS,863,LU,MOUNTAINSIDE,NJ,4284,2024
68162,TEAMSTERS,877,LU,LINDEN,NJ,652,2024
32629,TEAMSTERS,878,LU,LITTLE ROCK,AR,1950,2024
29835,TEAMSTERS,886,LU,OKLAHOMA CITY,OK,2854,2024
35800,TEAMSTERS,888,LU,BALTIMORE,MD,47,2021
4180,TEAMSTERS,890,LU,SALINAS,CA,6145,2023
28114,TEAMSTERS,891,LU,PEARL,MS,2420,2024
30466,TEAMSTERS,896,LU,PASADENA,CA,2982,2024
48892,TEAMSTERS,901,LU,SAN JUAN,PR,1855,2024
22539,TEAMSTERS,908,LU,LIMA,OH,904,2024
507181,TEAMSTERS,911,LU,BELLFLOWER,CA,0,2025
1263,TEAMSTERS,912,LU,WATSONVILLE,CA,0,2021
41023,TEAMSTERS,916,LU,SPRINGFIELD,IL,4112,2024
34873,TEAMSTERS,917,LU,FLORAL PARK,NY,2765,2024
67569,TEAMSTERS,919,LU,HOUSTON,TX,407,2024
37260,TEAMSTERS,922,LU,Lanham,MD,930,2024
19807,TEAMSTERS,926,LU,PITTSBURGH,PA,2141,2024
16753,TEAMSTERS,929,LU,PHILADELPHIA,PA,2827,2024
67470,TEAMSTERS,947,LU,JACKSONVILLE,FL,428,2024
39853,TEAMSTERS,948,LU,VISALIA,CA,3903,2024
34503,TEAMSTERS,952,LU,ORANGE,CA,7444,2024
15380,TEAMSTERS,955,LU,KANSAS CITY,MO,898,2024
2881,TEAMSTERS,957,LU,DAYTON,OH,3783,2024
14285,TEAMSTERS,959,LU,ANCHORAGE,AK,5798,2024
1347,TEAMSTERS,961,LU,DENVER,CO,3168,2010
36804,TEAMSTERS,962,LU,CENTRAL POINT,OR,0,2023
10485,TEAMSTERS,964,LU,VALLEY VIEW,OH,613,2024
67314,TEAMSTERS,966,LU,HACKENSACK,NJ,0,2024
32876,TEAMSTERS,968,LU,HOUSTON,TX,1432,2015
43880,TEAMSTERS,970,LU,MINNEAPOLIS,MN,1120,2024
41348,TEAMSTERS,974,LU,MINNEAPOLIS,MN,1350,2024
11335,TEAMSTERS,983,LU,POCATELLO,ID,961,2024
37480,TEAMSTERS,984,LU,MEMPHIS,TN,1099,2018
15379,TEAMSTERS,986,LU,COVINA,CA,18397,2024
65379,TEAMSTERS,988,LU,HOUSTON,TX,8811,2024
16933,TEAMSTERS,991,LU,MOBILE,AL,1999,2024
14787,TEAMSTERS,992,LU,HAGERSTOWN,MD,0,2025
66774,TEAMSTERS,995,LU,SO. EL MONTE,CA,2744,2014
28511,TEAMSTERS,996,LU,HONOLULU,HI,5959,2024
504930,TEAMSTERS,997,LU,FORT WORTH,TX,0,2025
37092,TEAMSTERS,1035,LU,SOUTH WINDSOR,CT,878,2024
24526,TEAMSTERS,1038,LU,DETROIT,MI,1383,2024
65229,TEAMSTERS,1070,LU,Michigantown,IN,217,2024
519012,TEAMSTERS,1100,LU,WASHINGTON,DC,0,2025
543345,TEAMSTERS,1108,LU,WASHINGTON,DC,0,2018
530702,TEAMSTERS,1129,LU,CARTERSVILLE,GA,351,2024
36342,TEAMSTERS,1145,LU,MINNEAPOLIS,MN,0,2025
17078,TEAMSTERS,1149,LU,BALDWINSVILLE,NY,464,2024
59449,TEAMSTERS,1150,LU,STRATFORD,CT,3599,2024
35241,TEAMSTERS,1164,LU,CLEVELAND,OH,387,2024
35036,TEAMSTERS,1196,LU,MEMPHIS,TN,0,2012
28369,TEAMSTERS,1199,LU,CINCINNATI,OH,1823,2024
23458,TEAMSTERS,1205,LU,FARMINGDALE,NY,1638,2024
530945,TEAMSTERS,1224,LU,WILMINGTON,OH,1613,2024
5004,TEAMSTERS,1414,LU,PHILADELPHIA,PA,713,2017
37515,TEAMSTERS,1717,LU,CINCINNATI,OH,0,2013
545929,TEAMSTERS,1932,LU,SAN BERNARDINO,CA,15160,2025
517849,TEAMSTERS,2001,LU,Indianapolis,IN,67,2021
545887,TEAMSTERS,2010,LU,OAKLAND,CA,15034,2024
544872,TEAMSTERS,2011,LU,Riverview,FL,4203,2016
547206,TEAMSTERS,2024,LU,DETROIT,MI,0,2024
546457,TEAMSTERS,2118,LU,LAS VEGAS,NV,1376,2024
517674,TEAMSTERS,2727,LU,LOUISVILLE,KY,2054,2024
546351,TEAMSTERS,2750,LU,CINCINNATI,OH,2866,2024
34030,TEAMSTERS,2785,LU,DALY CITY,CA,2351,2024
