script,destructive_rebuild,reads,writes
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\scoring\build_unified_scorecard.py,True,bls_industry_projections;bls_proj;db_config;employer_canonical_groups;employer_comparables;f7_employers_deduped;factors_available;feature_bridge;financial_990;mv_employer_data_sources;mv_employer_features;mv_unified_scorecard;national_990_f7_matches;national_990_filers;nlrb_agg;nlrb_cases;nlrb_elections;nlrb_elections_agg;nlrb_participants;nlrb_ulp_agg;osha_agg;osha_avgs;osha_establishments;osha_f7_matches;osha_violation_summary;ranked;raw_scores;ref_osha_industry_averages;research_enhanced;research_score_enhancements;score_industry_growth;scored;similarity_agg;union_prox;weighted;whd_agg;whd_cases;whd_f7_matches,concurrently;if;mv_unified_scorecard
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\scoring\compute_gower_similarity.py,True,base;bls_industry_projections;can;cli;corporate_identifier_crosswalk;db_config;employer_comparables;industry_occupation_overlap;mergent_employers;mv_employer_features;naics_to_bls_industry;pg_matviews,and;creation;employer_comparables;existing;exists;if;may;mergent_employers;mode;mv_employer_features;pandas;py;schema;set;similarity_score;union_df
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\scoring\compute_nlrb_patterns.py,True,db_config;f7_employers_deduped;mergent_employers;nlrb_elections;nlrb_participants;ref_nlrb_industry_win_rates;ref_nlrb_size_win_rates;ref_nlrb_state_win_rates,from;if;memory;mergent_employers;ref_nlrb_industry_win_rates;ref_nlrb_size_win_rates
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\scoring\create_research_enhancements.py,False,db_config;deep;in;research;research_score_enhancements,if;mv_employer_features;stores;the
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\scoring\create_scorecard_mv.py,True,bls_industry_projections;bls_proj;corporate_identifier_crosswalk;db_config;decayed;epi_state_benchmarks;estimated_state_industry_density;f7_matches;fed_contracts;industry_avg_similarity;industry_density;industry_density_blend;lateral;mergent_data;mergent_employers;mv;mv_organizing_scorecard;nlrb_industry;nlrb_state_rates;nlrb_us_industry;nlrb_us_rate;osha_accidents;osha_establishments;osha_f7_matches;osha_industry_avgs;osha_violation_summary;ref_nlrb_industry_win_rates;ref_nlrb_state_win_rates;ref_osha_industry_averages;ref_rtw_states;rtw_states;state_industry_density;state_members;v_naics_union_density;v_osha_organizing_targets,concurrently;create;if;mv_organizing_scorecard;score_versions;that;v_organizing_scorecard;v_osha_organizing_targets
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\scoring\rebuild_search_mv.py,True,db_config;employer_canonical_groups;f7_employers_deduped;manual_employers;mv_employer_search;nlrb_elections;nlrb_participants;nlrb_tallies;nlrb_voluntary_recognition;original;pathlib,exists;if;mv_employer_search
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\scoring\update_whd_scores.py,True,_before_scores;db_config;mergent_employers;whd,_before_scores;complete;concurrently;if;labor;mergent_employers;refresh;score_labor_violations;score_priority
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\create_data_freshness.py,False,bls_industry_occupation_matrix;bls_national_industry_density;bls_state_density;db_config;estimated_state_industry_density;f7_employers_deduped;gleif_us_entities;irs_bmf;lm_data;master_employers;mergent_employers;national_990_filers;nlrb_allegations;nlrb_cases;nlrb_elections;ny_state_contracts;nyc_contracts;osha_establishments;osha_violations_detail;sam_entities;sec_companies;unified_match_log;unions_master;whd_cases,data_source_freshness;if;set
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\drop_orphan_industry_views.py,False,collections;db_config;typing,if
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\fix_dangling_matches.py,False,any;dangling;db_config;f7_employers_deduped;unified_match_log,unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\fix_signatories_and_groups.py,True,db_config;employer_canonical_groups;f7_employers_deduped;group_names;merge_id,employer_canonical_groups;f7_employers_deduped;member_count;one
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\generate_db_inventory.py,False,datetime;db_config;pg_class;pg_matviews;pg_namespace;pg_stat_user_tables;table_stats,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\generate_project_metrics.py,False,datetime;db_config;master_employer_source_ids;master_employers;pg_class;pg_namespace;unified_match_log,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\rebuild_legacy_tables.py,True,__future__;active;dataclasses;db_config;national_990_f7_matches;national_990_filers;nlrb_employer_xref;osha_f7_matches;sam_f7_matches;typing;unified_match_log;whd_f7_matches,national_990_f7_matches;nlrb_employer_xref;osha_f7_matches;sam_f7_matches;whd_f7_matches
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\reject_low_trigram.py,False,collections;db_config;unified_match_log,unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\reject_stale_osha.py,False,db_config;unified_match_log,query_update;unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\reject_stale_splink_all.py,False,db_config;unified_match_log,unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\resolve_duplicate_matches.py,False,collections;datetime;db_config;decimal;typing;unified_match_log,unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\maintenance\resolve_missing_unions.py,False,__future__;collections;crosswalk;datetime;db_config;f7_employers_deduped;f7_fnum_crosswalk;f7_union_employer_relations;lateral;lm_data;one_to_one;orphan_names;typing;unions_master;xwalk,data_quality;f7_union_employer_relations;if;union_fnum_resolution_log;unions_master
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\ml\__init__.py,False,,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\ml\create_propensity_tables.py,False,db_config,if
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\ml\feature_engineering.py,False,bls_state_density;db_config;estimated_state_industry_density;nlrb_elections;nlrb_participants;osha_f7_matches;past;v_osha_organizing_targets,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\ml\train_propensity_model.py,False,bls_state_density;db_config;estimated_state_industry_density;f7_employers_deduped;ml_election_propensity_scores;ml_model_versions;nlrb;osha_f7_matches;ref_nlrb_state_win_rates;v_osha_organizing_targets,ml_election_propensity_scores;ml_model_versions;set
